Concept code,Concept description,Vocabulary,Cancer
44498965,"Lobular carcinoma, NOS, of central portion of breast",ICDO3,Breast
44498967,"Metaplastic carcinoma, NOS, of upper-outer quadrant of breast",ICDO3,Breast
44499435,Adenoid cystic carcinoma of central portion of breast,ICDO3,Breast
44499497,"Adenocarcinoma, NOS, of axillary tail of breast",ICDO3,Breast
44499540,Tubular adenocarcinoma of central portion of breast,ICDO3,Breast
44499818,"Infiltrating duct carcinoma, NOS, of lower-outer quadrant of breast",ICDO3,Breast
44499867,"Spindle cell carcinoma, NOS, of upper-outer quadrant of breast",ICDO3,Breast
44499922,Infiltrating duct and lobular carcinoma of central portion of breast,ICDO3,Breast
44499972,"Infiltrating duct carcinoma, NOS, of upper-inner quadrant of breast",ICDO3,Breast
44499975,Paget disease and intraductal carcinoma of breast of lower-inner quadrant of breast,ICDO3,Breast
44500148,Infiltrating duct mixed with other types of carcinoma of central portion of breast,ICDO3,Breast
44500300,Apocrine adenocarcinoma of central portion of breast,ICDO3,Breast
44500307,Paget disease and infiltrating duct carcinoma of breast of central portion of breast,ICDO3,Breast
44500308,Paget disease and infiltrating duct carcinoma of breast of upper-inner quadrant of breast,ICDO3,Breast
44500354,"Solid carcinoma, NOS, of upper-inner quadrant of breast",ICDO3,Breast
44500370,Paget disease and intraductal carcinoma of breast of nipple,ICDO3,Breast
44500419,"Lobular carcinoma, NOS, of lower-inner quadrant of breast",ICDO3,Breast
44500462,Paget disease and intraductal carcinoma of breast of central portion of breast,ICDO3,Breast
44500498,"Adenocarcinoma, NOS, of lower-outer quadrant of breast",ICDO3,Breast
44500597,Signet ring cell carcinoma of central portion of breast,ICDO3,Breast
44500600,"Lobular carcinoma, NOS, of upper-outer quadrant of breast",ICDO3,Breast
44500739,Paget disease and infiltrating duct carcinoma of breast of lower-inner quadrant of breast,ICDO3,Breast
44500783,"Adenocarcinoma, NOS, of upper-inner quadrant of breast",ICDO3,Breast
44500787,"Solid carcinoma, NOS, of upper-outer quadrant of breast",ICDO3,Breast
44500862,"Cribriform carcinoma, NOS, of central portion of breast",ICDO3,Breast
44500873,"Cribriform carcinoma, NOS, of upper-outer quadrant of breast",ICDO3,Breast
44501023,"Infiltrating duct mixed with other types of carcinoma of breast, NOS",ICDO3,Breast
44501139,"Solid carcinoma, NOS, of central portion of breast",ICDO3,Breast
44501150,"Infiltrating duct carcinoma, NOS, of axillary tail of breast",ICDO3,Breast
44501200,"Adenocarcinoma, NOS, of upper-outer quadrant of breast",ICDO3,Breast
44501260,"Adenocarcinoma, NOS, of central portion of breast",ICDO3,Breast
44501262,"Cribriform carcinoma, NOS, of axillary tail of breast",ICDO3,Breast
44501273,Mucinous adenocarcinoma of central portion of breast,ICDO3,Breast
44501355,"Lobular carcinoma, NOS, of upper-inner quadrant of breast",ICDO3,Breast
44501530,Atypical medullary carcinoma of central portion of breast,ICDO3,Breast
44501636,"Solid carcinoma, NOS, of lower-inner quadrant of breast",ICDO3,Breast
44501792,"Cribriform carcinoma, NOS, of upper-inner quadrant of breast",ICDO3,Breast
44501848,"Cribriform carcinoma, NOS, of lower-outer quadrant of breast",ICDO3,Breast
44501898,Inflammatory carcinoma of central portion of breast,ICDO3,Breast
44501933,"Adenocarcinoma, NOS, of lower-inner quadrant of breast",ICDO3,Breast
44501944,"Infiltrating duct carcinoma, NOS, of central portion of breast",ICDO3,Breast
44501958,Paget disease and infiltrating duct carcinoma of breast of lower-outer quadrant of breast,ICDO3,Breast
44502039,"Metaplastic carcinoma, NOS, of lower-inner quadrant of breast",ICDO3,Breast
44502155,"Large cell carcinoma, NOS, of upper-outer quadrant of breast",ICDO3,Breast
44502181,Adenosquamous carcinoma of central portion of breast,ICDO3,Breast
44502291,Paget disease and intraductal carcinoma of breast of upper-outer quadrant of breast,ICDO3,Breast
44502447,"Infiltrating duct carcinoma, NOS, of lower-inner quadrant of breast",ICDO3,Breast
44502449,"Metaplastic carcinoma, NOS, of upper-inner quadrant of breast",ICDO3,Breast
44502696,Scirrhous adenocarcinoma of central portion of breast,ICDO3,Breast
44502782,"Medullary carcinoma, NOS, of upper-outer quadrant of breast",ICDO3,Breast
44502881,Infiltrating lobular mixed with other types of carcinoma of central portion of breast,ICDO3,Breast
44502882,"Infiltrating lobular mixed with other types of carcinoma of breast, NOS",ICDO3,Breast
44502883,Paget disease and infiltrating duct carcinoma of breast of upper-outer quadrant of breast,ICDO3,Breast
44502958,"Lobular carcinoma, NOS, of lower-outer quadrant of breast",ICDO3,Breast
44502959,"Lobular carcinoma, NOS, of axillary tail of breast",ICDO3,Breast
44503032,"Paget disease and intraductal carcinoma of breast of breast, NOS",ICDO3,Breast
44503099,"Metaplastic carcinoma, NOS, of lower-outer quadrant of breast",ICDO3,Breast
44503198,"Squamous cell carcinoma, NOS, of upper-outer quadrant of breast",ICDO3,Breast
44503559,"Metaplastic carcinoma, NOS, of central portion of breast",ICDO3,Breast
36523999,Adenosquamous carcinoma of overlapping lesion of breast,ICDO3,Breast
36524717,Adenoid cystic carcinoma of overlapping lesion of breast,ICDO3,Breast
36560989,Acinar cell carcinoma of axillary tail of breast,ICDO3,Breast
44502783,Acinar cell carcinoma of central portion of breast,ICDO3,Breast
36528296,Acinar cell carcinoma of lower-inner quadrant of breast,ICDO3,Breast
36553302,Acinar cell carcinoma of lower-outer quadrant of breast,ICDO3,Breast
36528268,Acinar cell carcinoma of overlapping lesion of breast,ICDO3,Breast
36523946,Acinar cell carcinoma of upper-inner quadrant of breast,ICDO3,Breast
44500080,Acinar cell carcinoma of upper-outer quadrant of breast,ICDO3,Breast
36517161,Acinar cell cystadenocarcinoma of axillary tail of breast,ICDO3,Breast
36524667,"Acinar cell cystadenocarcinoma of breast, NOS",ICDO3,Breast
36559540,Acinar cell cystadenocarcinoma of central portion of breast,ICDO3,Breast
36535001,Acinar cell cystadenocarcinoma of lower-inner quadrant of breast,ICDO3,Breast
36547927,Acinar cell cystadenocarcinoma of lower-outer quadrant of breast,ICDO3,Breast
36540781,Acinar cell cystadenocarcinoma of overlapping lesion of breast,ICDO3,Breast
36528684,Acinar cell cystadenocarcinoma of upper-inner quadrant of breast,ICDO3,Breast
36533091,Acinar cell cystadenocarcinoma of upper-outer quadrant of breast,ICDO3,Breast
36534214,Adenocarcinoma in villous adenoma of axillary tail of breast,ICDO3,Breast
36530730,"Adenocarcinoma in villous adenoma of breast, NOS",ICDO3,Breast
36548881,Adenocarcinoma in villous adenoma of central portion of breast,ICDO3,Breast
36534866,Adenocarcinoma in villous adenoma of lower-inner quadrant of breast,ICDO3,Breast
36520750,Adenocarcinoma in villous adenoma of lower-outer quadrant of breast,ICDO3,Breast
36554325,Adenocarcinoma in villous adenoma of overlapping lesion of breast,ICDO3,Breast
36547352,Adenocarcinoma in villous adenoma of upper-inner quadrant of breast,ICDO3,Breast
36566738,Adenocarcinoma in villous adenoma of upper-outer quadrant of breast,ICDO3,Breast
36553114,Adenocarcinoma with apocrine metaplasia of axillary tail of breast,ICDO3,Breast
36567106,"Adenocarcinoma with apocrine metaplasia of breast, NOS",ICDO3,Breast
36560612,Adenocarcinoma with apocrine metaplasia of central portion of breast,ICDO3,Breast
36562341,Adenocarcinoma with apocrine metaplasia of lower-inner quadrant of breast,ICDO3,Breast
36526872,Adenocarcinoma with apocrine metaplasia of lower-outer quadrant of breast,ICDO3,Breast
36551249,Adenocarcinoma with apocrine metaplasia of overlapping lesion of breast,ICDO3,Breast
36567711,Adenocarcinoma with apocrine metaplasia of upper-inner quadrant of breast,ICDO3,Breast
36526667,Adenocarcinoma with apocrine metaplasia of upper-outer quadrant of breast,ICDO3,Breast
36533099,Adenocarcinoma with cartilaginous and osseous metaplasia of axillary tail of breast,ICDO3,Breast
36533485,Adenocarcinoma with cartilaginous and osseous metaplasia of central portion of breast,ICDO3,Breast
36547578,Adenocarcinoma with cartilaginous and osseous metaplasia of lower-inner quadrant of breast,ICDO3,Breast
36520011,Adenocarcinoma with cartilaginous and osseous metaplasia of lower-outer quadrant of breast,ICDO3,Breast
36525405,Adenocarcinoma with cartilaginous and osseous metaplasia of overlapping lesion of breast,ICDO3,Breast
36545580,Adenocarcinoma with cartilaginous and osseous metaplasia of upper-inner quadrant of breast,ICDO3,Breast
36517511,Adenocarcinoma with cartilaginous and osseous metaplasia of upper-outer quadrant of breast,ICDO3,Breast
36530836,Adenocarcinoma with mixed subtypes of axillary tail of breast,ICDO3,Breast
44501266,Adenocarcinoma with mixed subtypes of central portion of breast,ICDO3,Breast
36541548,Adenocarcinoma with mixed subtypes of lower-inner quadrant of breast,ICDO3,Breast
36551939,Adenocarcinoma with mixed subtypes of lower-outer quadrant of breast,ICDO3,Breast
36565039,Adenocarcinoma with mixed subtypes of overlapping lesion of breast,ICDO3,Breast
44502534,Adenocarcinoma with mixed subtypes of upper-inner quadrant of breast,ICDO3,Breast
44501345,Adenocarcinoma with mixed subtypes of upper-outer quadrant of breast,ICDO3,Breast
36559062,Adenocarcinoma with spindle cell metaplasia of axillary tail of breast,ICDO3,Breast
36550327,Adenocarcinoma with spindle cell metaplasia of central portion of breast,ICDO3,Breast
36564788,Adenocarcinoma with spindle cell metaplasia of lower-inner quadrant of breast,ICDO3,Breast
36563732,Adenocarcinoma with spindle cell metaplasia of lower-outer quadrant of breast,ICDO3,Breast
36556994,Adenocarcinoma with spindle cell metaplasia of overlapping lesion of breast,ICDO3,Breast
36567559,Adenocarcinoma with spindle cell metaplasia of upper-inner quadrant of breast,ICDO3,Breast
36558786,Adenocarcinoma with spindle cell metaplasia of upper-outer quadrant of breast,ICDO3,Breast
36541767,Adenocarcinoma with squamous metaplasia of axillary tail of breast,ICDO3,Breast
36520568,Adenocarcinoma with squamous metaplasia of central portion of breast,ICDO3,Breast
36552975,Adenocarcinoma with squamous metaplasia of lower-inner quadrant of breast,ICDO3,Breast
36556660,Adenocarcinoma with squamous metaplasia of lower-outer quadrant of breast,ICDO3,Breast
36521206,Adenocarcinoma with squamous metaplasia of overlapping lesion of breast,ICDO3,Breast
36546948,Adenocarcinoma with squamous metaplasia of upper-inner quadrant of breast,ICDO3,Breast
44502182,Adenocarcinoma with squamous metaplasia of upper-outer quadrant of breast,ICDO3,Breast
36545478,"Adenocarcinoma, NOS, of overlapping lesion of breast",ICDO3,Breast
36544230,Adenoid cystic carcinoma of axillary tail of breast,ICDO3,Breast
44503085,Adenoid cystic carcinoma of lower-inner quadrant of breast,ICDO3,Breast
44500016,Adenoid cystic carcinoma of lower-outer quadrant of breast,ICDO3,Breast
44502387,Adenoid cystic carcinoma of upper-inner quadrant of breast,ICDO3,Breast
44500785,Adenoid cystic carcinoma of upper-outer quadrant of breast,ICDO3,Breast
36531075,"Adenoma of nipple of breast, NOS",ICDO3,Breast
36554606,Adenoma of nipple of overlapping lesion of breast,ICDO3,Breast
42512701,Adenomyoepithelioma with carcinoma of axillary tail of breast,ICDO3,Breast
42511993,Adenomyoepithelioma with carcinoma of lower-inner quadrant of breast,ICDO3,Breast
42512278,Adenomyoepithelioma with carcinoma of lower-outer quadrant of breast,ICDO3,Breast
42512712,Adenomyoepithelioma with carcinoma of overlapping lesion of breast,ICDO3,Breast
42512919,Adenomyoepithelioma with carcinoma of upper-inner quadrant of breast,ICDO3,Breast
42512003,Adenomyoepithelioma with carcinoma of upper-outer quadrant of breast,ICDO3,Breast
36559532,Adenosquamous carcinoma of axillary tail of breast,ICDO3,Breast
36538330,Adenosquamous carcinoma of lower-inner quadrant of breast,ICDO3,Breast
44501661,Adenosquamous carcinoma of lower-outer quadrant of breast,ICDO3,Breast
36520290,Adenosquamous carcinoma of upper-inner quadrant of breast,ICDO3,Breast
36567556,Adenosquamous carcinoma of upper-outer quadrant of breast,ICDO3,Breast
36533146,Alveolar adenocarcinoma of axillary tail of breast,ICDO3,Breast
36531301,"Alveolar adenocarcinoma of breast, NOS",ICDO3,Breast
36520865,Alveolar adenocarcinoma of central portion of breast,ICDO3,Breast
36545416,Alveolar adenocarcinoma of lower-inner quadrant of breast,ICDO3,Breast
36563347,Alveolar adenocarcinoma of lower-outer quadrant of breast,ICDO3,Breast
36553169,Alveolar adenocarcinoma of overlapping lesion of breast,ICDO3,Breast
36555646,Alveolar adenocarcinoma of upper-inner quadrant of breast,ICDO3,Breast
36517972,Alveolar adenocarcinoma of upper-outer quadrant of breast,ICDO3,Breast
36526963,Apocrine adenocarcinoma of axillary tail of breast,ICDO3,Breast
36547894,Apocrine adenocarcinoma of lower-inner quadrant of breast,ICDO3,Breast
44501085,Apocrine adenocarcinoma of lower-outer quadrant of breast,ICDO3,Breast
36559699,Apocrine adenocarcinoma of overlapping lesion of breast,ICDO3,Breast
44501647,Apocrine adenocarcinoma of upper-inner quadrant of breast,ICDO3,Breast
44502950,Apocrine adenocarcinoma of upper-outer quadrant of breast,ICDO3,Breast
44502289,Atypical medullary carcinoma of axillary tail of breast,ICDO3,Breast
44501218,Atypical medullary carcinoma of lower-inner quadrant of breast,ICDO3,Breast
44501582,Atypical medullary carcinoma of lower-outer quadrant of breast,ICDO3,Breast
36531463,Atypical medullary carcinoma of overlapping lesion of breast,ICDO3,Breast
44500881,Atypical medullary carcinoma of upper-inner quadrant of breast,ICDO3,Breast
44501855,Atypical medullary carcinoma of upper-outer quadrant of breast,ICDO3,Breast
36531464,"Basaloid carcinoma of breast, NOS",ICDO3,Breast
42511930,Basaloid carcinoma of overlapping lesion of breast,ICDO3,Breast
42512929,Basaloid carcinoma of upper-outer quadrant of breast,ICDO3,Breast
42512266,"Carcinoma ex pleomorphic adenoma of breast, NOS",ICDO3,Breast
36544715,Carcinoma simplex of axillary tail of breast,ICDO3,Breast
36530779,Carcinoma simplex of central portion of breast,ICDO3,Breast
36518801,Carcinoma simplex of lower-inner quadrant of breast,ICDO3,Breast
36541559,Carcinoma simplex of lower-outer quadrant of breast,ICDO3,Breast
36535615,Carcinoma simplex of overlapping lesion of breast,ICDO3,Breast
36523044,Carcinoma simplex of upper-inner quadrant of breast,ICDO3,Breast
36543383,Carcinoma simplex of upper-outer quadrant of breast,ICDO3,Breast
36534548,Carcinoma with osteoclast-like giant cells of axillary tail of breast,ICDO3,Breast
